;23,	1052,	1900,	-10,	80;
;22,	2460,	 648,	-90,	90;
;21,	 788,	2452,	-90,	90;
;19,	1092,	1892,	-45,	45;
;18,	2420,	 628,	-90,	90;
;17,	 480,	2144,	-90,	90;
;14,	1000,	1820,	-80,	10;
;13,	2480,	 580,	-90,	90;
;12,	 520,	2364,	-90,	90;
;11,	1880,	1012,	-80,	10;
;10,	 660,	2488,	-90,	90;
;09,	2468,	 704,	-90,	90;
;06,	1404,	2148,	-45,	45;
;05,	 508,	2620,	-90,	90;
;04,	2388,	 656,	-90,	90;
;02,	1880,	1048,	-10,	80;
;01,	 512,	2320,	-90,	90;
;00,	2416,	 772,	-90,	90;


